模型名称,整车质量,x(距第1轴),y,z(离地高),Ixx,Iyy,Izz,轴距,轮距,时间,用户
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-13:55,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-13:55,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-14:46,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-14:46,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-15:00,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-15:00,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-15:20,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-15:20,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-15:21,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-15:30,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-15:35,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-15:38,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-15:54,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-16:23,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-16:30,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:26-16:37,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:27-03:07,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:29-21:31,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:29-21:34,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:29-22:01,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:30-23:43,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,545.71,319859518.63,1184061602.63,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:30-23:49,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:31-20:14,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:31-23:38,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:31-23:40,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:03:31-23:57,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:04:01-00:20,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:04:01-00:34,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:04:01-21:18,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:04:01-21:35,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:04:01-21:50,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:04:01-21:54,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:04:01-22:07,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:04:01-22:36,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,415.45,298688841.89,1162890925.9,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:04:01-22:40,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,545.71,319859518.63,1184061602.63,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:04:01-23:17,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,545.71,319859518.63,1184061602.63,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:04:01-23:26,zbingf
MDI_Demo_Vehicle,1527.68,1482.05,-1.42,545.71,319859518.63,1184061602.63,1341023809.23,2560.0,A1[1520.0];A2[1594.0],2022:04:02-00:25,zbingf
